
DC001,Ron Jeremy,1953-01-01,"123 Main St, Los Angeles, CA","555-0101","PhD","urology","2020-05-15"
DC002,James Deen,1986-02-07,"456 Elm St, San Francisco, CA","555-0102","MBBS","general","2021-06-20"
DC003,Peter North,1957-05-11,"789 Oak St, Miami, FL","555-0103","BSc","orthopedics","2019-03-10"
DC004,Johnny Sins,1978-12-31,"321 Pine St, Chicago, IL","555-0104","MBBS","general","2022-01-22"
DC005,Brandon Iron,1973-07-01,"654 Maple St, Houston, TX","555-0105","PhD","cardiology","2018-11-30"
DC006,Travis Knight,1980-03-12,"987 Cedar St, New York, NY","555-0106","MBBS","general","2023-04-14"
DC007,Colt Steele,1982-08-21,"135 Birch St, Seattle, WA","555-0107","BSc","dermatology","2021-09-05"
DC008,Manuel Ferrara,1975-11-01,"246 Spruce St, Boston, MA","555-0108","MBBS","neurology","2020-08-19"
DC009,Tori Black,1982-07-26,"369 Walnut St, Denver, CO","555-0109","PhD","general","2019-12-25"
DC010,Nick Manning,1971-06-11,"159 Ash St, Atlanta, GA","555-0110","MBBS","pediatrics","2022-03-03"
